Month,Petroleum Products Supplied,Natural Gas Consumption,Coal Consumption,Total Energy CO2 Emissions
1973 January,18712.645,2348.0,50578.608,454.078
1973 February,19094.143,2126.0,45564.808,415.098
1973 March,17216.226,2015.0,45402.955,407.423
1973 April,15920.533,1835.0,43326.498,368.205
1973 May,16625.806,1729.0,43999.759,376.028
1973 June,16481.333,1534.0,45542.675,359.983
1973 July,16372.387,1558.0,48160.561,369.765
1973 August,17498.839,1582.0,49255.285,385.331
1973 September,16656.3,1527.0,45874.659,361.336
1973 October,17202.226,1708.0,46978.211,385.389
1973 November,18492.033,1905.0,47213.008,408.419
1973 December,17538.355,2182.0,50686.576,429.79
1974 January,17285.871,2230.0,50528.945,429.202
1974 February,17365.714,2054.0,45704.417,390.726
1974 March,16103.71,2003.0,46337.743,392.583
1974 April,15928.5,1691.0,43875.422,361.088
1974 May,15725.677,1608.0,45384.372,360.241
1974 June,16117.133,1439.0,44733.986,346.979
1974 July,16348.742,1514.0,48967.579,367.633
1974 August,16549.71,1510.0,49061.108,370.067
1974 September,16023.8,1537.0,44340.435,349.995
1974 October,17050.032,1706.0,46379.019,381.654
1974 November,17351.267,1827.0,45068.598,385.794
1974 December,18012.968,2104.0,48020.176,424.995
1975 January,18003.903,2248.0,50282.501,438.551
1975 February,17084.357,1939.0,46157.315,384.031
1975 March,16315.355,1903.0,47632.104,393.659
1975 April,16048.3,1575.0,44274.039,357.98
1975 May,15155.258,1331.0,43394.793,336.3
1975 June,15610.033,1257.0,45407.798,333.373
1975 July,15739.871,1313.0,48062.815,346.887
1975 August,15806.29,1369.0,49607.932,353.318
1975 September,15767.833,1370.0,44581.458,336.736
1975 October,16376.613,1544.0,45360.755,360.533
1975 November,15777.233,1640.0,46393.362,358.024
1975 December,18185.0,2049.0,51485.56,428.516
1976 January,18646.903,2291.0,53398.648,452.381
1976 February,17509.276,1938.0,47273.411,394.215
1976 March,17302.0,1721.0,49050.888,395.74
1976 April,16671.533,1508.0,46849.91,364.365
1976 May,15977.387,1434.0,47117.843,356.969
1976 June,16824.567,1335.0,48840.782,357.673
1976 July,16606.742,1372.0,52054.088,369.419
1976 August,16642.032,1317.0,52443.319,366.962
1976 September,16836.8,1302.0,48091.319,353.909
1976 October,17090.355,1621.0,49756.081,384.212
1976 November,18846.933,1875.0,52281.559,419.899
1976 December,20559.935,2232.0,56632.126,478.787
1977 January,20504.323,2407.0,56880.004,489.057
1977 February,20481.821,1816.0,50381.088,418.716
1977 March,18123.742,1715.0,50717.279,407.834
1977 April,17579.667,1439.0,46765.909,369.907
1977 May,16972.323,1379.0,49557.007,370.199
1977 June,18043.333,1333.0,52194.032,376.595
1977 July,17567.903,1325.0,56461.666,387.715
1977 August,18011.871,1364.0,55288.685,391.245
1977 September,17714.4,1427.0,51005.399,377.073
1977 October,17824.097,1518.0,50640.183,387.88
1977 November,18437.333,1690.0,51177.702,399.895
1977 December,20051.71,2108.0,54222.009,458.996
1978 January,19752.29,2382.0,54312.646,469.707
1978 February,20900.036,2139.0,45488.034,430.267
1978 March,19652.032,1918.0,43287.532,422.298
1978 April,17747.1,1539.0,46283.566,376.535
1978 May,18230.355,1380.0,49416.423,385.68
